Portuguese,French,Italian,Spanish,Catalan,Provencal,Ladin,Sardinian,Romanian,German,Dutch,Afrikaans,English,Icelandic,Norwegian,Swedish,Faroese,Danish,Breton,Welsh,Irish,Bulgarian,Slovenian,Serbo-Croatian,Russian,Belarusian,Ukrainian,Czech,Slovak,Polish,Lithuanian,Latvian,Romani,Singhalese,Kashmiri,Khaskura,Nepali,Bengali,Lahnda,Panjabi,Hindi,Marathi,Gujarati,Pashto,Persian,Tajik,Baluchi,Albanian,Armenian,Greek,,Maranao,Mansaka,Hanunoo,Tagalog,Cebuano,,Javanese,Bali,Sasak,Sunda,Iban,Indonesian
REMOTO,LOIN,LONTANO,LEJOS,LLUNY,LUEN,VIA,ATTESU,DEPARTE,WEIT,VER,VER,FAR,LANGT,LANGT BORTE,FJARRAN,LANGT BURTUR,FJERN,PELL,PELL,FADA,DALEC,DALEC,DALEK,DALEKO,DALEKI,DALEKO,DALEKO,DALEKY,DALEKO,TOLIMAS,TALS,DUR,DURA,DUR,TARA,DUR,DUR,DUR,PERE,DUR,DUR,DUR,LIRI,DUR,DUR,DIR,LARK,HERU,MAKRIA,,MAWATAN,MAQAWAT,ARAYU,MALAYO,LAYO,,ADOH,JOH,JAOQ,JAUH,JAUH,JAUH
GORDURA,GRAISSE,GRASSO,GRASA,GRAS,GRAISSO,SUNDSCHA,GRASSU,GRASIME,FETT,VET,VET,FAT,FITA,FETT,FET,FITI,FEDT,DRUZONI,BRASTER,BLONAG,TLESTO,MAST,MAST,ZIR,TUK,TOVSC,TLUSTI,TLSTY,TLUSZCZ,TAUKAI,TAUKS,KHOI,TELA,BIKH,BOSO,BOSO,CORBI,MOTA,CERBI,CERBI,CERBI,CERBI,GVARI,CHARBI,RAVWAN,PHIGH,DHJAME,CARP,PAKHOS,,SIBOQ,TAVIQ,TABA,TABA,LANA,,GAJIH,MULUK,LEMU,GAJIH,LEMAK,LEMAK
PAI,PERE,PADRE,PADRE,PARE,PAIRE,BAP,BABBU,TATA,VATER,VADER,VADER,FATHER,FAOIR,FAR,FADER,FADIR,FADER,TAD,TAD,ATHAIR,DASCA,OCE,OTAC,OTEC,BACKA,BATKO,OTEC,OTEC,OJCIEC,TEVAS,TEVS,DADE,PIYA,MOLU,BABU,BABU,BABA,PYU,BAP,BAP,VEDIL,BAP,PLAR,PEDAR,PADAR,PHITH,BABA,HAYR,PATERAS,,AMAQ,QAMAQ,AMA,AMA,AMAHAN,,BAPAK,BAPA,AMAQ,BAPA,APAI,BAPAK
TEMER,CRAINDRE,TEMERE,TEMER,TEMOREJAR,CREGNE,TMAIR,TIMMI,A SE TEME DE,FURCHTEN,VREEZEN,VREES,FEAR,HRAEOASK,VAERE REDD,FARHAGA,RAEDAST,FRYGTE,DOUJAN,OFNI,TA EAGLA AIR,SE STRAXUVA,STRAH,BOJATI SE,BOJAT SJA,BAJACCA,LJAKATYS,BATI SE,BAT SA,BAC SIE,BIJOTI,BAIDITIES,TRASAV,BAYA,DARUN,DARNU,DARNU,BHOE,DEREN,DERNA,DERNA,BHINE,DERWU,BEREDEL,TARSIDAN,TARSIDAN,THURSAGH,TREMBEM,VAKHNAL,FOVUME,,KAWAN,QALLEK,DALA,MATAKOT,MAHADLOK,,WEDI,TAKUT,TAKUT,SIEUN,TAKUT,TAKUT
PENNA,PLUME,PIUMA,PLUMA,PLOMA,PLUMO,PENNA,PINNA,PANA,FEDER,VEDER,VEER,FEATHER,FJOOUR,FJAER,FJADER,FJODUR,FJER,PLUENN,PLUFYN,CLEITE,PERO,PERU,PERO,PERO,PERA,LJAK,PERO,PERO,PIORO,PLUNKSNA,SPALVA,PHAK,PIHATTA,PAKHACH,PWANKH,PWAKH,PALOK,PER,KHEMB,PER,PIS,PICU,BENA,PAR,PAR,PHAR,PENDE,T EW,FTERO,,BOLBOL,BUBUL,BULBUL MANUK,BALAHIBO,BALAHIBO,,WULU,BULU,BULU,BULU,BULU,BULU
POUCOS,PEU,POCHI,POCO,POCH,PAU,POCHA,PAGUS,PUTINI,WENIG,WEINIG,NPAAR,FEW,FAIR,FA,FA,FAIR,FAA,NEBEUTA,YCHYDIG,BEAGAN,MALKO,MALO,NEKOLIKO,MALO,KRYXU,KIL KA,MALO,NIEKOLKO,MALO,NEDAUG,MAZLIET,XARNWK,TIKA,MAINAY,KAMTI,THOR,OLPO,THORE,THORA,THORA,THODA,THORU,LEZ,KAM,KAM,KHARDE,PAK,K IC,LIYI,,0,0,0,KAUNTI,PIPILA,,0,0,0,SAEUTIK,0,SEDIKIT
PELEJAR,SE BATTRE,COMBATTERE,BATALLAR,LLUYTAR,SE BATRE,CUMBATTER,CERTAI,A,KAMPFEN,VECHTEN,VEG,FIGHT,RIFAST,SLASS,STRIDA,BERJAST,KAEMPE,EN EM GANNAN,YMLADD,TROID,SE BIE,TJEPES,BORITI SE,DRAT SJA,BICCA,BYTYS,BOJOVATI,BIT SA,BIC SIE,KOVOTI,KAUTIES,MAREL,SANDU,LADUN,LARNU,JUJHNU,LORA,LEREN,LERNA,LERNA,LEDHNE,LEREWU,DZANGEDEL,JANGIDAN,CANG KARDAN,MIRAGH,LEFTON,PAYK AR,POLEMO,,0,0,0,LABAN,AWAY,,0,0,0,GELUT,0,PERKELAHIAN
FOGO,FEU,FUOCO,FUEGO,FOCH,FIO,FO,FOGU,FOC,FEUER,VUUR,VUUR,FIRE,ELDR,VARME,ELD EN,ELDUR,ILD,TAN,TAN,TEINE,OGEN,OGEN,VATRA,OGON,VAGON,VOGON,OHEN,OHEN,OGIEN,UGNIS,UGUNS,YAK,GINDARA,NAR,AGO,AGO,AGUN,BHA,EGG,AG,AG,AG,OR,ATASH,OTAS,AS,ZJAR,KRAK,FOTYA,,APOI,QATURUN,APUY,APOY,KALAYO,,GENI,API,API,SEUNEU,API,API
PEIXE,POISSON,PESCE,PEZ,PEIX,PEIS,PESCH,PISSI,PESTE,FISCHE,VISCH,VIS,FISH,FISKR,FISK,FISK,FISKUR,FISK,PESK,PISGODYN,IASC,RIBA,RIBA,RIBA,RYBA,RYBA,RYBA,RYBA,RYBA,RYBA,ZUVIS,ZIVS,MACHO,MALU,GAD,MACHHA,MACHO,MAC,MECHLI,MECCHI,MECHLI,MASA,MACHELI,KAB,MAHI,MOXI,MAHI,PESK,JUK,PSARI,,SEDAQ,KAYA,ISDA,ISDA,ISDA,,IWAK,BE,EMPAQ,LAUK,IKAN,IKAN
CINCO,CINQ,CINQUE,CINCO,CINCH,CINQ,TSCHINCH,CINKU,CINCI,FUNF,VIJF,VYF,FIVE,FIMM,FEM,FEM,FIMM,FEM,PEMP,PUMP,CUIG,PET,PJT,PET,PJAT,PJAC,P JAT,PET,PAT,PIEC,PENKI,PIECI,PANCH,PAHA,PANTS,PANCH,PAC,PAC,PENJ,PENJ,PAC,PAC,PAE,PINDZE,PANJ,PANC,PHANCH,PESE,HING,PENDE,,0,LIMA,LIMA,LIMA,LIMA,,LIMA,LIME,LIMA,LIMA,LIMA,LIMA
ABOIAR,FLOTTER,GALLEGGIARE,FLOTAR,SURAR,FLOUTA,0,GALLEGAI,A PLUTI,SHWEBEN,DRIJVEN,DRYF,FLOAT,FLJOTA,FLYTE,FLYTA,FLOTA,FLYDE,NEUIN,NOFIO,SNAMH,SE NOSI,PLAVAT,PLOVITI,PLAVAT,PLAVAC,PLAVATY,VZNASETI SE,PLAVAT,PLYNAC,PLAUKTI,PELDET,URNEL,PAVENAWA,YIRUN,BAHNU,PAURANU,BHASA,TAEREN,TERNA,UTERANA,TERNE,TEREWU,GERZEDEL,0,SINO KARDAN,LURAGH,JAM MBI VALET,LUAL,PLEO,,0,0,0,LUTANG,0,,0,0,0,NGAMBANG,0,MENGAPUNGAPUNG
CORRER,COULER,SCORRERE,FLUIR,CORRER,COULA,FLUIR,KURRI,A CURGE,FLIESSEN,STROOMEN,VLOEI,FLOW,RENNA,RENNE,FLYTA,RENNA,FLYDE,REDEK,LLIFO,RITH,TECE,PLAVATI,TECI,TEC,PLYC,TEKTY,TECI,PLYNUT,CIEC,TEKETI,PLUST,SHORDYOL,GALANAWA,WAHUN,BAHANU,BAGNU,BOOA,WAWEN,VEGNA,BEHNA,VAHNE,WEHEWU,BAHEDEL,JARI SHODAN,CORI SUD,BAHAGH,RIETH,HOSEL,REO,,BOAK,0,LAGNAS,DUMALOY,AGAS,,MILI,MEMBAH,NELEK,NGALIR,ARUNG,MENGALIR
FLOR,FLEUR,FIORE,FLOR,FLORS,FLOUR,FLUR,FRORI,FLOARE,BLUME,BLOEM,BLOM,FLOWER,BLOM,BLOMST,BLOMMA,BLOMA,BLOMST,BLEUNIENN,BLODYN,BLATH,CVETE,CVET,CVET,CVET,KVETKA,KVITKA,KVETINA,KVET,KWIAT,GELE,PUKE,LULUGI,MALA,POSH,PHUL,PHUL,PHUL,PHUL,PHULL,PHUL,PHUL,FUL,GUL,GOL,GUL,PHUL,LULE,CATIK,LULUDHI,,BOLAK,BULAK,BUSAN,BULAKLAK,BULAK,,KEMBAN,BUNGA,KEMBAN,KEMBANG,BUNAI,BUNGA
VOAR,VOLER,VOLARE,VOLAR,AIXECAR,VOULA,SVOLER,BOLAI,A ZBURA,FLIEGEN,VLIEGEN,VLIE,FLY,FLJUGA,FLY,FLYGA,FLUGVA,FLYVE,NIJAL,HEDFAN,EITILT,DALETI,LETETI,LETETI,LETET,LETAC,LITATY,LETATI,LETET,LECIEC,SKRISTI,LIDOT,UCAV,PIHA,WUPHUN,URNU,URNU,ORA,UDDEN,UDDENA,URNA,UDNE,URWU,ALVOTEL,PARVAZ KARDAN,PARVOZ KARDAN,BAL GIRAGH,FLUTURON,T RC EL,PETO,,LAYOG,LAYUG,LUMAYAN,LUMIPAD,MOLUPAD,,MABUR,MAKEBER,KELEP,HIBER,TEREBAI,TERBANG
NEVOEIRO,BROUILLARD,NEBBIA,NIEBLA,BOYRA,NEBLO,TSCHIERA,NEBBIA,CEATA,NEBEL,NEVEL,MIS,FOG,THOKA,TAKE,TJOKA,TOKA,TAAGE,LATAR,NIWL,CEO,MEGLA,MEGLA,MAGLA,TUMAN,IMHLA,MRJAKA,MLHA,HMLA,MGLA,MIGLA,MIGLA,KATAXNYA,MIOUMA,WUNAL,KUHIRO,KUIRO,KUASA,DHUNDH,TUND,KOHRA,DHUKE,DHUMMES,MIH,MEH,TUMAN,DITHLO,MJERGUL,MSUS,KATAKHNYA,,LEKEP,0,ALINYABU,HAMOG,GABON,,PEDUT,LIMUT,AWUNAWUN,HALIMUN,APOK,KABUT
PE,PIED,PIEDE,PIE,PEU,PED,PE,PEI,PICIOR,FUSS,VOET,VOET,FOOT,FOTR,BEN,FOT,FOTUR,FOD,TROAD,TROED,COS,KRAK,STAPOLU,NOGA,NOGA,STAPA,NOGA,NOHA,NOHA,STOPA,KOJA,KAJA,CANK,KAKULA,KHOR,KHUTTA,KHUTTO,PA,PAER,PER,PER,PAUL,PEG,PSA,PA,PO,PHADH,KEMBE,OT,PODHI,,AQI,BITIQIS,RAPARAPA,BINTI,TIIL,,SIKIL,BATIS,NAE,KAKI,KAKI,KAKI
QUATRO,QUATRE,QUATTRO,CUATRO,QUATRE,QUATRE,QUATTER,KWATTRU,PATRU,VIER,VIER,VIER,FOUR,FJORIR,FIRE,FYRA,FYRA,FIRE,PEVAR,PEDWAR,CEATHAIR,CETIRI,STJRI,CETIRI,CETYRE,CATYRY,COTYRY,CTYRI,STYRI,CZTERY,KETURI,CETRI,ISTAR,HATARA,TSOR,CHAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CALOR,CHAHAR,COR,CHIAR,KATER,CORS,TESERIS,,PAT,QUPAT,UPAT,APAT,KWATRO,,PAPAT,PATPAT,EMPAT,OPAT,AMPAT,EMPAT
GELAR,GELER,GELARE,HELAR,GELAR,GELA,DSCHLER,GELAI,A INGHETA,FRIEREN,VRIEZEN,VRIES,FREEZE,FRJOSA,FRYSE,FRYSA,FRYSTA,FRYSE,REVIN,RHEWI,REODHADH,ZAMREZVA,ZMRZNE,SLEDITI SE,ZAMERZAT,ZJAMARATYVAC,MERZNUTY,MRZNOUTI,MRZNUT,ZAMARZAC,SALDYTI,SALT,BUZLANDU,SITA,HANDARUN,0,JAMNU,JOMAT,JEMMEN,JEMMENA,JEMNA,GOTHNE,THERWU,JAX KEDEL,YAKH BASTAN,JAX KARDAN,MADHAGH,GRIN,SAREL,INE PAGHONYA,,0,0,0,TIGAS,0,,0,0,0,BEKU,0,MEMBEKU
FRUCTO,FRUIT,FRUTTO,FRUTO,FRUYT,FRU,FRUT,FRUTTA,FRUCT,FRUCHT,VRUCHT,VRUG,FRUIT,AVOXTUR,FRUKT,FRUKT,FRUKT,FRUGT,FROUEZH,FFRWYTH,TORADH,PLOD,SADJE,VOCE,PLOD,PLOD,OVOC,OVOCE,OVOCIE,OWOC,VAISIUS,AUGLIS,EMISA,PALATURU,PHAL,PHALPHUL,PHAL,PHOL,PHEL,PHEL,PHEL,PHEL,FEL,MEVA,MIVE,MEVA,MEWA,FRUTA,BUDUGH,FRUTO,,BONA,BUNGA ,BURAK,BUNGA,BUNGA,,WOHWOHAN,WOHWOHAN,BUAQBUAQAN,BUBUAHAN,BUAH,BUAHBUAHAN
DAR,DONNER,DARE,DAR,DONAR,DOUNA,DER,DONAI,A DA,GEBEN,GEVEN,GEE,GIVE,GEFA,GI,GIVA,GEVA,GIVE,REIN,RHOI,TABHAIRT,DAVA,DATI,DATI,DAVAT,DAVAC,DAVATY,DAVATI,DAT,DAWAC,DUOTI,DOT,DAV,DENAWA,DYUNU,DINU,DINU,DEOA,DEWEN,DENA,DENA,DENE,APWU,VERKAVEL,DADAN,DODAN,DEAGH,JAP,TAL,DHINO,,0,0,0,BIGAY,HATAG,,0,0,0,MERE,0,MEMBERI
BOM,BON,BUONO,BUENO,BO,BON,BUNA,BONU,BUN,GUT,GOED,GOED,GOOD,GOOR,GOD,GOD,GODUR,GOD,MAT,DA,MAITH,DOBRO,DOBRO,DOBAR,XOROSIJ,DOBRY,DOBRYJ,DOBRY,DOBRY,DOBRY,GERAS,LABS,LACHO,HONDA,KHARA,RAMRO,BHALO,BHALO,CENGA,CENGA,ECCHA,CANGLA,SARU,SA,KHUB,XUB,PHUTUR,IMIRE,LAV,KALOS,,MAPIA,DAYAW,MAYAD,MABUTI,MAAYO,,APIK,MELAH,BAGUS,ALUS,BAIK,BAIK
HERVA,HERBE,ERBA,HIERBA,HERBA,ERBO,ERVA,ERBA,IARBA,GRAS,GRAS,GRAS,GRASS,GRAS,GRESS,GRAS,GRASS,GRAES,GEOT,PORFA,FEAR,TREVA,TRAVA,TRAVA,TRAVA,TRAVA,TRAVA,TRAVA,TRAVA,TRAWA,ZOLE,ZALE,CAR,TANAKOLA,GASA,GHAS,GHAS,GHAS,GHA,KA,GHAS,GEVET,GHAS,VASE,ALAF,ALAF,RENV,BAR,XOT,KHORTARI,,OTAN,0,RIKUT,DAMO,SAGBUT,,SUKET,PADANG,REBU,JUKUT,RUMPUT,RUMPUT
VERDE,VERT,VERDE,VERDE,VERT,VERT,VERD,BIRDI,VERDE,GRUN,GROEN,GROEN,GREEN,GRAENN,GRONN,GRON,GRONUR,GRON,GLAS,GWYRDD,GLAS,ZELENO,ZELENO,ZELEN,ZELENYJ,ZJALENY,ZELENYJ,ZELENY,TRAVNIK,ZIELONY,ZALIAS,ZALS,ESILI,KOLA,NYULU,HARIO,HARIYO,SOBUJ,HERA,HERA,HERA,HIRVA,LILU,SIN,SABZ,SABZ,SAVZ,GELBER,KANAC,PRASINOS,,GADON,MARUNAW,LATUY,LUNTIAN,HILAW,,IJO,GADANG,EJO,HEJO,IJAU,HIJAU
TRIPAS,BOYAU,INTESTINO,INTESTINO,BUDELL,BUDEU,BOGL,MAZZAMINI,MARUNTAIE,EINGEWEIDE,DARM,INGEWAND,GUTS,THARMAR,TARMER,TARM,TARMAR,TARM,BOUZELLOU,PERFEDD,HUTOGA,CERVA,CEJVA,UTROBA,KISKI,KISKI,KISKI,VNITRNOSTI,VNUTORNOSTI,KISZKI,VIDURIAI,ZARNAS,PORA,BADAVEL,TSAPH,0,ANRA,NARIBHURI,HIMMET,ANDER,AT,ATEDE,ANTERLA,KULMA,RUDE,RUDA,ROTH,ZORE,ALI,ANDERA,,TINAQI,TINAQI,BITUKA,BITUKA,TINAI,,USUS,BABETUKAN,BADUK,PEUJIT,PERUT,USUS
CABELLO,CHEVEU,CAPELLO,CABELLO,PEL,PEU,CHAVE,PILU,PAR,HAAR,HAAR,HAAR,HAIR,HAR,HAR,HAR,HAR,HAAR,BLEV,GWALLT,GRUAIG,KOSA,LASJE,KOSA,VOLOSY,VOLAS,VOLOSSJA,VLASY,VLAS,WLOSY,PLAUKAS,MATS,BALA,KES,MAS,RAUN,KAPAL,KES,WAL,VAL,BAL,KES,WAL,VESTE,MU,MUJ,PHUT,LES,MAZ,MALYA,,BOK,LUGAY,BUHUK,BUHOK,BUHOK,,RAMBUT,BOK,BULU,RAMBUT,BOK,RAMBUT
MAO,MAIN,MANO,MANO,MA,MAIN,MAUN,MANU,MINA,HAND,HAND,HAND,HAND,HOND,HAND,HAND,HOND,HAAND,DORN,LLAW,LAMH,REKA,RAKA,RUKA,RUKA,RUKA,RUKA,RUKA,RUKA,REKA,RANKA,ROKA,VAS,ATA,ATHA,HATH,HAT,HAT,HETH,HETTH,HATH,HAT,NATH,LAS,DAST,DAST,DAST,DORE,JERK,CHERI,,LIMA,BEKTEN,KAMANG,KAMAY,KAMUT,,TANAN,LIMA,IME,LEUNEUN,TANAN,TANGAN
ELLE,IL,EGLI,EL,LO,EU,EL,ISSU,EL,ER,HIJ,HY,HE,HANN,HAN,HAN,HANN,HAN,EN,EFE,SE,TOJ,ON,ON,ON,EN,VIN,ON,ON,ON,JIS,VINS,KOVA,OHU,SUH,U,TYO,SE,O,O,VOH,TO,E,DE,U,VAJ,I,AY,NA,AFTOS,,SEKANIAN,0,SIYA,SIYA,SIYA,,DEWEKE,IA,IYE,MANEHNA,IA,DIA
CABECA,TETE,TESTA,CABEZA,CAP,TESTO,TESTA,KONKA,CAP,KOPF,HOOFD,HOOF,HEAD,HOFUO,HODE,HUVUD,HOVD,HOVED,PENN,PEN,CEANN,GLAVA,GLAVA,GLAVA,GOLOVA,GALAVA,GOLOVA,HLAVA,HLAVA,GLOWA,GALVA,GALVA,SORO,OLUWA,KALA,TAUKO,MANTO,MATHA,SIR,SIR,SIR,DOKE,MATHU,SAR,SAR,SAR,SAGHAR,KOKE,GLUX,KEFALI,,OLO,QURU,ULU,ULO,ULO,,SIRAH,TENDAS,OTAK,SIRAH,PALA,KEPALA
OUVIR,ENTENDRE,UDIRE,OIR,SENTIR,ENTENDRE,UDIR,INTENDI,A AUZI,HOREN,HOOREN,HOOR,HEAR,HEYRA,HORE,HORA,HOYRA,HORE,KLEVOUT,CLYWED,CLOS,CUVA,CUJES,CUTI,SLYSAT,CUC,SLUXATY,SLYSETI,CUT,SLYSZEC,GIRDETI,DZIRDET,ASUNAV,AHANAWA,BOZUN,SUNNU,SUNNU,SONA,SUNNEN,SUNENA,SUNNA,EYKNE,SAMBHELEWU,ARVEDEL,SHENIDAN,SUNIDAN,ASKHANAGH,DEGON,LSEL,AKUO,,MAKINEG,DENGEG,DUNUG,MAKINIG,MADUNGOG,,KRUNU,NINGEH,DEDENAH,NGADENGE,DINA,MENDENGAR
CORACAO,COEUR,CUORE,CORAZON,COR,COR,COUR,KORI,INIMA,HERZ,HART,HART,HEART,HJARTA,HJERTE,HJARTA,HJARTA,HJERTE,KALON,CALON,CROIDHE,SERCE,SRCJ,SRCE,SERDCE,SERCA,SERCE,SRDCE,SRDCE,SERCE,SIRDIS,SIRDS,ILO,PAPUWA,DIL,MUTO,HIYO,BUK,DIL,DIL,DIL,HRIDEY,0,ZRE,QALB,DIL,DIL,ZEMER,SIRT,KARDHYA,,0,0,0,PUSO,KASINGKASING,,0,0,0,JANTUNG,0,JANTUNG
PESADO,LOURD,PESANTE,GRAVE,FEIXUCH,LOURD,PESANT,GRAI,GREU,SCHWER,ZWAAR,SWAAR,HEAVY,THUNGR,TUNG,SVAR,TUNGUR,TUNG,PONNER,TRWM,TROM,TEZKO,TEZKO,TEZAK,TJAZELYJ,CJAZKI,TJAZKYJ,TEZKY,TAZKY,CIEZKI,SUNKUS,SMAGS,PHARO,BARA,GOBU,GARUNGO,GARAU,BHARI,BHARI,PARA,BHARI,JED,BHARE,DRUND,SANGIN,VAZNIN,GIRAN,I RENDE,CANR,VARIS,,BETENAN,MABEGAT,MABUYAT,MABIGAT,BUGAT,,ABOT,BAAT,BERAT,BEURAT,BERAT,BERAT
AQUI,ICI,QUI,AQUI,AQUI,EICI,TSCHO,INNOI,AICI,HIER,HIER,HIER,HERE,HER,HER,HAR,HER,HER,AMAN,YMA,ANNSO,TUK,TUKAJ,OVDE,ZDES,TUT,TUT,ZDE,TU,TU,CIA,SEIT,KATE,METANA,YOR,YAHAN,YATA,EKHANE,ITTHA,ETTHE,YEHA,ITHE,EHI,DELTA,INJA,DAR NI CO,EDHA,KETU,AYSTEL,EDHO,,0,0,0,DITO,DIDTO,,0,0,LEQ TE,DIEU,0,DISINI
DAR UMA PANCADA,FRAPPER,BATTERE,GOLPEAR,COPEJAR,PICA,COLPIR,PIGAI,A NIMERI,SCHLAGEN,RAKEN,SLAAN,HIT,SLA,SLA,SLA,SLAA,RAMME,SKEIN,BWRW,BUALADH,UDARI,UDARIT,UDARITI,BIT,UDARAC,UDARJATY,UHODITI,UDERIT,BIC,MUSTI,IESIST,CALAVAV,GAHANAWA,LAYUN,HANNU,THOKNU,MARA,MAREN,THOKKER,MARNA,APETNE,MAREWU,VAHEL,ZADAN,ZADAN,JANAGH,GODIT,XPEL,KHTIPO,,TOTOG,0,HAMPAK,PALUIN,MOBANGAG,,NUTUK,NYAGUR,MEMANTOK,NEUNGGEUL,PUKUL,MEMUKUL
TER,TENIR,TENERE,TENER,TENIR,TENI,TGNAIR,TENNI,A TINE,HALTEN,HOUDEN,HOU,HOLD,HALDA,HOLDE,FAST HALLA,HALDA,HOLDE,DERC HEL,DAL,RUD DO CHOINNEAIL SA LAIMH,DERZI,DRZAT U RAKI,DRZATI,DERZAT,TPYMAC,TRYMATY,DRZETI,DRZAT,TRZYMAC,LAIKYTI,TURET,ASTARAV,ALLAGANAWA,HYONU,THAMNU,0,DHORA,PEKREN,PHERNA,DHERNA,DHERNE,PEKERWU,LAREL,GEREFTAN,DAST GIRIFTAN,0,MBAN,UNEL,KRATO,,KAPET,TAKMAG,MAGHIYAPUT,HAWAKAN,MOHAWID,,NEKEL,NGISI,NENTIQ,NYEKEL,PEGAI,MEMEGANG
COMO,COMMENT,COME,COMO,COM,COUME,QUANT,KOMMENTI,CUM,WIE,HOE,HOE,HOW,HVERNIG,HVORLEDES,HUR U,HVUSSUR,HOORLEDES,PENAOS,SUT,CONAS,KAK,KAKO,KAKO,KAK,JAK,JAK,JAK,AKO,JAK,KAIP,KA,SAR,KOHOMADA,KETHA,KASTO,KASO,KEMON,KIWE,KIS,KESA,KESA,KEM,CENGA,CHETOWR,CI TAVR,CHACCHO,SI,INC PES,POS,,AI,PILA,ABITAY,PAANO,UNSAON,,PIYE,KENKEN,BEREMBE,KUMAHA,KATI,BAGAIMANA
CACAR,CHASSER,CACCIARE,CAZAR,CASSAR,CASSA,CHATSCHER,KASSAI,A VINA,JAGEN,JAGEN,JAG,HUNT,VEIOA,GA PA JAKT,JAGA,VEIDA,JAGE,CHASEAL,HELA,SEILG,XODIS NA LOV,JAGAT,LOVITI,OXOTITSJA,NALJARAC,POLJUVATY,LOVITI,HONIT,POLOWAC,MEDZIOTI,MEDIT,MUDAREL,DADAYAM,SHIKAR KARUN,0,SIKAR KHELNU,SIKAR,SIKARKHEDEN,SEKAR,SIKAR,SIKAR,SIKARKERWO,SKAR KAVEL,SHEKAR KARDAN,SIKOR KARDAN,SHIKAR KHANAGH A PHA,VETE PER GA,ORSAL,KINIGHO,,ANOP,QAGUS,MANGIDU,MANGASO,MANGAYAM,,MBEBEDAG,MABOROS,NYERAN,MORO,GIGA,BERBURU
MARIDO,MARI,MARITO,MARIDO,MARIT,MARIT,MARID,MARIRU,SOT,EHEMANN,ECHTGENOOT,MAN,HUSBAND,MADUR EIGINMADUR,I,HUSHALLA,MADUR,MAND,GWAZ,GWR,FEAR,SEPRUG,MAS,MUZ,MUZ,SUZENEC,MUZ,MANZEL,MANZEL,MAZ,VYRAS,VIRS,ROM,PURUSAYA,RUNU,LOGNIA,POI,SAMI,GEBHRU,PETI,PETI,NEVRA,PATI,MERE,SHOWHAR,SAVXAR,MARD,BURE,AMUSIN,ANDRAS,,KAWIN,BANA,ASAWA,ASAWANG LALAKE,BANA,,BOJO,KURENAN,SEMAME,SALAKI,LAKI,SUAMI
EU,JE,IO,YO,JO,IEU,EAU,DEU,EU,ICH,IK,EK,I,EG,JEG,JAG,EG,JEG,ME,FI,ME,AZ,JEST,JA,JA,JA,JA,JA,JA,JA,AS,ES,ME,MAMA,BOH,M,MA,AMI,MAE,ME,ME,MI,HU,ZE,MAN,MAN,MAN,UNE,ES,EGHO,,AKO,0,AKU,AKO,AKO,,AKU,ICANG,AKU,KURING,AKU,SAYA
GELO,GLACE,GHIACCIO,HIELO,GEL,GLACO,GLATSCH,GIACCU,GHEATA,EIS,IJS,YS,ICE,IS,IS,IS,ISUR,IS,SKORN,IA,LEAC OIDHRE,LED,LETT,LED,LED,LED,LID,LED,LAD,LOD,LEDAS,LEDUS,BUZO,HIMA,SHUH,HIUN,HIU,BOROP,BERF,BEREPH,BERPH,BERPHE,BEREF,JAX,YAKH,JAX,BAWAR,KALKAN,SAROYC,PAGHOS,,0,0,0,YELO,YELO,,0,0,0,0,0,AIS
SE,SI,SE,SI,SI,SE,SCHA,SI,DACA,WENN,INDIEN,AS,IF,EF,HVIS,OM,UM,HVIS,MA,OS,MA,AKO,CEBIBLO,AKO,ESLI,KALI,JAKSCO,JESTLI,KED,JESLI,JEI,JA,TE,TOT,YED,BHANEDEKHIN,JADI,JODI,JE,EGER,EGER,JER,JO,KA,AGAR,AGAR,AR,PO,YETE,AN,,ONTOL,QAW,NU,KUNG,KUNG,,NEK,YEN,LAMUN,LAMUN,ENTI,KALAU
EM,DANS,DENTRO,EN,SOBRE,DINS,IN,IN,IN,IN,IN,IN,IN,I,I,I,I,I,E,YN,I,V,NOTRI,U,V,U,V,V,V,W,I,LAPA,ANDRE,HI ATULA,MANZ,MA,MA,ONDOR,ENDER,ENDER,ENDER,AT,MA,PE,DAR,BA,NIANWAN,BRENDA,MEJ,SE,,SAN,0,SA BASAD,LOOB,SA SULOD,,ANA NJERO,DI TENGAH,LEQ DALEM,DIJERO,ALAM,DI DALAM
MATAR,TUER,UCCIDERE,MATAR,NAFRAR,TUA,MAZZER,BOCCIRI,A OMORI,TOTEN,DOODEN,DOODMAAK,KILL,DREPA,DREPE,DODA,DREPA,DRAEBE,LAZHAN,LLADD,MARBHUGHADH,UBIVA,UBIJAT,UBITI,UBIVAT,ZABIVAC,UBYVATY,ZABITI,ZABIT,ZABIJAC,UZMUSTI,NOGALINAT,MUNDARAV,MARANAWA,MARUN,0,MARNU,MARA,MAREN,MARNA,MARNA,THAR,MAREWU,VAZEL,KOSHTAN,ZADAN,KHUSHAGH,VRAS,SPANEL,SKOTONO,,BONOQ,PATAY,MATYUN,PATAYIN,MOPATAY,,MATENI,NGAMATIANG,NYEMATEQ,MAEHAN,BUNOH,MEMBUNUH
